word	description
ERROR	What thsi clue has
TEMPO	Meter
SIREN	Bewitching one.
ENTER	Move into
ORATE	Make allocutions
FLUKE	Result of careful planning it's not
SENSE	Import or purport
NERTS	Doggone!
FRIAR	Monastery resident
ARROW	Missile fired from bow
SIREN	Sailor serenader
ELOPE	Get up and go? 
IDLER	Loafer. 
DISCO	Record Prefix 
WAIVE	Surrender rights
ELOPE	Skip out.
ERODE	Wear down amid zero degrees
STEAL	Thieve
NORSE	Like Erik the Red, for example
RAISE	So-called level increase
SIEVE	Flour sifter.
TODAY	This 24-hour period
SIREN	Parthenope, for one 
ENNUI	This is not joie de vivre 
CLONE	Partheno-genetic product
RESIN	Epoxy eg
SHAME	That's a pity
AGREE	What sentence components should do
ALIGN	Correct the position of
RIMER	Poet, old style
OTTER	River dweller heading off wizard
RERAN	Repeated a TV show. 
OTTER	Aquatic frolicker
ATTAR	Rose product 
OPIUM	Religion, to Marx
HOTEL	Inn
TREED	Beset by baying dogs maybe
NORSE	Language
AGREE	Give a nod to (wordplay)
EMEER	High guy in Dubai Var
AMATI	Instrument bearing the coat of arms of France's Charles IX
REMIT	Lay aside. 
ATTAR	Base of perfumes. 
ARENA	Place for a rink
ESSAY	Addisons forte
LINER	Its hit right on the button
OTTER	It sounds as if, in the water the temperature is rising for the unaspirated
ARROW	It has feathers and flies
GROSS	Taxform word
CROAK	Bullfrog sound
DRYER	TV's Hunter
LOPER	Saddle horse with a certain gait.
ENURE	Steel 
ELUDE	Lose in a chase
SUGAR	White crystalline carbohydrate used as a preservative
LOPER	One running casually
SIEVE	An addled brain might be likened to one
EROSE	Like a maple leaf
ARMOR	Hard wear
TEARY	Weepy eyed
LEAPT	Tectonic plate jumped suddenly
CHESS	He's in the Civil Service game
NEVER	trust a stranger
OTTER	Furry floater
AMUSE	What a funny author hopes to do
EVENT	Pole vault or high jump
RESIN	Fir-tree exudation
EROSE	Notched, as a leaf
AMUSE	Say humorous things to
ILION	Village on the Mohawk
CHESS	Kasparov's game
SENSE	One of five main faculties
ARMOR	Battle protection
SHEEN	Be silent, even when it shines
AWARE	Perceptive
DELAY	Rain result, on some fields
AGREE	Say yes to a suggestion
OLDER	Living more years (wordplay)
SENSE	Detect. 
DRIVE	Force redhead into disreputable resort
NOVEL	Original.
EXERT	Put forth, in a way
AMATI	Famous make of violin. 
ELATE	Please to no end
AGREE	What the like-minded do
TEARS	Reactions to onions 
LOPER	Joggers kin
SCALE	Butcher shop device
EVENT	High jump, for example
WIRER	Telegraph sender
RESET	Monitor button
SOBER	Having slept it off, maybe
OBEAH	West Indian talisman
STAMP	Official mark
ERECT	Standing with proper posture
SENSE	Nuts lack
DISCO	Saturday Night Fever setting
LEARY	Figure in the high s
MANIA	Crazy Throwing Muses song
DRUPE	Singleseeded fruit
RENTE	French annual income.
ABUSE	Ill-treat
INANE	Silly item oddly impressing granny
ELATE	Gladden 
ENEMY	Sounds like rival to New Musical Express in short (wordplay)
PLEAD	Respond as to a charge
SIREN	Seductress in the Odyssey
LATER	Not just now. 
AWARE	Briefed
SHEEN	Lame feature
EXERT	Strive 
DETER	Restrain from acting
STALE	Well past its prime
NEVER	Emphatic negation 
SEDER	Passover home meal
ERROR	404, to a web user
ELOPE	Run to the J.P.
SCARE	Hair-raiser
MANIA	Great enthusiasm
ERODE	Undo by degrees
ENTER	Matriculate. 
OSIER	Willow whose twigs are used in basketry
ERROR	Diamond muff
CELLO	Big stringed instrument
ENTER	Carriage return key nowadays
ENTER	Widish computer key
LONER	"Table for one" type
ELITE	Glitterati eg
SENSE	See 37 Across
LEDGE	Pigeons roost often
LONER	Rugged individualist. 
ELOPE	Run away to Vegas, perhaps
ENTER	Go into centers without Borders
ARENA	Bostons FleetCenter for one
URGER	Elbow to the ribs, perhaps
RATIO	3:1 or 5:2, for example
OTTER	Mammal of the weasel family. 
PILOT	Chesley 'Sully' Sullenberger, for one
ERODE	Deteriorate. 
STEAL	Take second in a way
HARAM	Forbidden by Islamic law
SIREN	Parthenope, for one. 
LONER	Person who keeps to himself
ADDER	Venomous snake with zigzag markings
GLADE	S.C. Johnson spray
UNION	Part of USSR
REATA	Spanish lasso
LEAVE	Depart; holiday
SLATE	Easily split rock
GOUGE	Illegally overcharge
ELOPE	Skip the fancy nuptials
OLDER	Album that spawned the Top 10 hit for George Michael "Jesus to a Child"
ALIEN	X-Files extra, maybe
ARMOR	Galahad's garb
SIEVE	Screen is erected the day before
ERROR	Naughty child goes topless, displaying boob
GANEF	Thief slangily
DRYER	Appliance in many basements
ELITE	Not for the masses
RIVAL	Messala to BenHur
SENSE	Word with common, good or horse
ARROW	Something to follow
EDGER	Lawn trimming tool
OLDEN	Ancient cave? Look up at the top of it
LEARY	s tripper Timothy
ATTAR	Rose essence 
OLDER	More 7-Down
BOCCE	Game with wooden balls
PREEN	Be exultant
OVULE	Plant part that develops into a seed
ERECT	Fully upright
AWARE	Open-eyed
ERGOT	Rye fungus.
SCALE	Attempt Everest
KOREA	Divided land 
DREAD	Adder (anagram)
LEARY	Standup comic Dennis
CRAPS	Vegas shooting game
SIEVE	Being full of holes, the riddle is back to her
ATTAR	Damask rose extract.
EMEER	Oriental title 
SENSE	German city near Dusseldorf
ONSET	The beginning of something, or a violent attack
CHESS	Bobby Fischer's game 
CANIS	Contemptible one to Cato
ARMOR	Equipment for a hoplite.
LATER	If I do this, then I am no better than a heathen
POSIT	Theorize
TITER	Strength of a solution 
CHESS	Board game 
CRAPS	Rolling Vegas game
ENTER	Take part.
ERROR	Chess move annotated with "?"
STRAM	Football coach Hank
ARMOR	Metal sheath. 
ELITE	Glitterati, for example
ELITE	English low-fat cream
ENTER	Put into the diary
SCARE	tactics
OTTER	Oyster cracker (wordplay)
CELLO	String-quartet member
PESTO	Pasta go-with
AROMA	Vanilla candle's emanation
UVULA	Pharynx neighbor
ATTAR	Perfume oil 
STOMA	Small aperture in botany
CLONE	Doppelganger's kin 
KORMA	Mild Indian dish
CELLO	It's bowed
EROSE	Unevenly notched. 
PALAR	Stakelike
EDGER	Lawn care item
NORSE	Rollos men
NORSE	Like Thor
NORSE	Oslo's language
LOPER	See through one making great strides
ELITE	Highclass
UVULA	Flappy thing in the throat
CANIS	Major Great Dog constellation
AMUSE	Tickle pink
OVULE	Seedlet
EDEMA	Overwatering result in plants
FEMUR	Walker's support
UVULA	It dangles in your throat
EDGER	Garden tool. 
OLDIE	Doowop number
ERROR	What "++" means in Qe2++
ERODE	Get weatherworn
CROAK	Kermit's sound
INANE	Frivolous 
AISLE	I'm invested in a streaming service showing a hunk of meat
DREAD	Fear of locks, perhaps
TREES	Green giants some of them
VILLA	Imposing estate
CRUSH	Romantic infatuation
ARENA	Latin for "sand"
DISCO	1970's music
SENSE	Have a vague impression
INURE	Harden.
SERES	Talons of old
AMUSE	Put a smile on
IMAGE	Mirror's reflection
ALIEN	Being from another world
EMAIL	Note sent in Outlook Express, for example
ERODE	Blow away, maybe
DENSE	Close
ELOPE	Waive ones rites
ETERN	Ever in poesy
BIPED	Any animal with two feet
AMUSE	Get to smile
EDGER	Trimming tool 
NERTS	"Fiddlesticks!"
BORER	Tool used for making holes
UPEND	Stand on its head
SLATE	Roster of candidates.
CELLO	Viol's cousin. 
PLEAD	Say "guilty" or "not guilty," say
DREAD	Feeling when called to the principals office
SIDLE	Act crabby
ARROW	I'm With Stupid shirt feature
ELOPE	Skip town, maybe
UNPEG	Remove (washing from the line)
TASER	Perp zapper
SKATE	Enjoy the rink 
SPOOL	This turns round and turns back
ARTSY	Pretentious as a display
ATTAR	Flowerpetal oil
NYLON	Clothing material.
NEIGH	Beastly sound in 7 8
ERROR	Miss, for example
OTTER	Kind of board tied to a trawl net
OTTER	Aquatic animal
TEASE	Strip
ELITE	Best of a class
THINE	Your to a Quaker
LEAVE	Serviceman's vacation
CHESS	Mating game
ERROR	Throw into the dugout, e.g
ALEPH	Beth's lead-in
PIPIT	Larklike bird. 
AMATI	Super-fine fiddle
IMAGE	Press agents concern
ERROR	Solecism for one
LATEN	Make tardy
ERROR	Overthrow, e.g
CURSE	Anathema.
NOVEL	Scott creation
ELATE	Uppuff. 
GLADE	Open space in a wood
SENSE	Dope's lack
ELITE	Letter size; superior group
ISLET	Often-uninhabited land
ELOPE	Hitch on the fly
SIREN	Fire engines warning
MOWER	Grass cutter
NEVER	"Forget it"
EYRIE	Eagle' nest
ELOPE	Unite on the sly
AWARE	Onto with of
STALE	Old news
ERECT	Raised
PRINT	Positive for a shutterbug
CELLO	String quartet quarter
SHAME	Mortification
ELITE	Rabble's antithesis
LONER	Buster Keaton persona
OTTER	It's over the top here
ELITE	Oligarchy
HEMEN	Alpha males
TENOR	Hightoned fellow
STAMP	"Forever" purchase
RATIO	4:1, e.g
LONER	Shane, for example
AGREE	Be affable
LOSER	Second best 
ARMOR	Mail for Arthur
SENSE	Good thing to make generally
LEASE	Real estate contract 
SIEVE	The riddle is up to her
ATTAR	Flower-petal oil
ENTER	Join a race 
OTAKU	Geeky type, in Japan
ERROR	Slip, mistake
AMIGO	Friend, comrade
LEARN	Live partner
ELUDE	Give the slip to 
RESIN	A sap when it comes to wrongdoing
SIREN	Cop car feature
OUSEL	Duck to take advantage of lake, or some other bird
GLADE	Feature of South Florida.
LINGO	Group's jargon
ARMOR	Armadillo's covering. 
DISCO	What a cod this is for entertainment!
TENOR	Top man in the choir
GOOSE	Web-footed bird
ENTER	Join a race
MOWER	Greens machine
AGREE	Dont differ
RESET	Switch button
ESSAY	Test format sometimes
RATER	One who scores exams 
IDLER	Unproductive sort
LEMON	Candy flavoring.
CELLO	Boss holds ends of lyrical instrument
ERROR	Misprint.
ELOPE	Skip the wedding hoopla
DRYER	Place to throw a load
TAPER	Get gradually narrower
AMUSE	Be a comedian
WHEAT	Pastas past
SIREN	Dangerous woman
ENTER	Computer command
ARROW	Achilles' undoing
HEMEN	Wimps opposites
AGREE	Suit.
URENA	Genus of plants of the mallow family, yielding a jute substitute
ELOPE	Sneak off to say I do
UVATE	Conserve of grapes. 
AMUSE	Elicit smiles
ERROR	It would be frightfully wrong to have this after tea
ELATE	Savage, finally deceased, brings delight
GENET	Catlike animal.
ERROR	Fielder's misplay
RETIE	Fix some loose laces
INTER	I rent a berry, by the sound of it
ERODE	Wear away by wind
EROSE	Shaped like an oak leaf 
TRAIT	Part of your character
LEAVE	on base fail to drive the run in
LEERY	Having doubts
ALTER	Rehem perhaps
ENEMY	Shooting target (wordplay)
SIREN	Enchantress.
DREAR	Dismal (literary)
SENSE	One type is common
ARARA	Brazilian bird. 
ENTER	Come in after carp
ADDER	Calculating person (wordplay)
AISLE	Passage taken from Zola is legible
ELITE	Topdrawer
ERROR	Tennis boo-boo 
ARROW	Common road sign feature
AMATI	Cremona.
NABOB	VIP raised stink after arrest
FRUMP	Dowdy one Colloq. 
DREAD	It may be existential
ORATE	Address the hall eg
RETRO	Like bellbottoms nowadays
ERROR	Ball field bobble
HEMEN	Bouncers as a rule
ERROR	Dropped fly eg
ERROR	Wrong? Right!
AWARE	Sentient
HEMEN	Hercules et al.
IMBUE	Go all the way through
NOVEL	Book half a month online
ORLON	Wrinkle resister
OLDER	Padre leaves rope ladder with senior
ATTAR	Send out roses
BIPED	Bird or human
SAWER	Cutting carpenter
ELITE	Size of type. 
ELOPE	Skip the formalities, in a way
ARMOR	Sir Galahad.s garb
AMATI	Instrument makers from Rotherham, at Italian rates
YENTA	Busybody
ELOPE	What Romeo and Juliet planned to do
ENTER	Go in and put in the ledger
NEVER	When to say "die"
NERTS	'Fiddlesticks!'
ERODE	Diminish slowly
DISCO	Type of nightclub
EMEER	Arab chief.
ELOPE	Avoid wedding bills
CLOAK	Dagger's predecessor.
RAMAL	Halter, Spanish style 
ENTER	A carp would so come in to work in the wood, by the sound of it
AMATI	Some defamation for family of workers on the fiddle (wordplay)
ERROR	One way to get to first base
RAKED	(Of a stage) sloped
ALIGN	Adjust front wheels' toe-in
REGAL	Royal
SEDER	Matzoh time
ETUDE	Indian statesman
AGREE	Reach accord 
ARMED	Even with a weapon, one gets 'urt, it seems
NORSE	Like the myth of the tree Yggdrasil
SLATE	Roof top, perhaps
SIREN	See 15 Across. 
RAKED	Did some fall cleaning
AMATI	Noted violin-maker
RELIT	Started the gas stove again 
SWOOP	Dive downwards
ARMOR	Iron clothes
LEAVE	LIberty
LOSER	St. Louis Cardinals supporter (according to hope)
ALIEN	Foreign article about piece of fiction
WATER	Cooler contents
EMEER	Arab potentate var
ERECT	Standing vertically
SOFER	Daytime Emmy actress Rena
ERROR	What the referee was making of 35 across
OTTER	Lupine  wolf  lutrine
CELLO	Ma's forte
AROMA	Characteristic quality 
LONER	Isolated person
ENTER	Come in or record
GROSS	Revolting
SUMAC	Shrub that might cause a rash
ALIGN	Adjust as the wheels
SCARE	Say "Boo!" to
LEDGE	Natural sitting spot
SIREN	Police-car feature
ARMOR	Knight's iron suit
TEASE	Style as hair into a bouffant
ARRET	Stop, on the Rive Gauche
ERECT	When it's about a hundred the tree is twisted but still standing
UPSET	Defeat of a sort. 
THINE	Slim figure at last is yours!
ELOPE	Run from bachelorhood (wordplay)
DENSE	Jam-packed
OMBRE	Party removed from boredom, shuffled for card game
ELOPE	Form a secret union
ENTER	Call to a doorbell pusher
SENSE	Realize. 
LEAVE	Sarge's vacation
SCARE	sensation
ELATE	Make joyful
ELOPE	Wing to a J.P. 
SKATE	Do figure-eights
EXERT	Use influence
ERROR	Annoying computer message
RAKED	Enfiladed.
OTTER	Character in 'The Wind in the Willows'
SALON	Reception hall.
TREES	Pines, e.g
ERODE	Weather gradually
AMUSE	Regale
SURGE	Society leading drive for rapid growth
MONEL	Type of metal. 
MISER	Silas Marner, for one.
ENEMY	Frenchman with head obscured by fancy rival
ORATE	Deliver a keynote, for example
AROMA	Memory trigger, perhaps
TETRA	Prefix meaning
ABOMA	Anaconda's relative
ALLAY	Relieve, as anxiety
LEASE	Two-year agreement, perhaps
SIREN	Whistle
EMEER	Abu Dhabi bigwig Var
RIATA	Cowboy's gear 
RESIT	Others without beginning of idea take test again
SENNA	Species of cassia
ENTER	'Come in!'
LEAPT	Jumped for joy (var.)
ARISE	Get vertical
OILER	Machine attendant 
SENSE	Touch or taste. 
ERROR	Not the right way to the last of the fright
IMAGE	Embodiment
ARRET	French traffic order
AMUSE	Tickle, in a way
CRAPS	Rolling fun
DISCO	Place for a mirrored ball
LONER	James Dean persona
RAISE	Reach via radio
WAFER	Thin piece of pastry 
CELLO	Instrument for Pablo Casals
CROWD	Three for example
LEAVE	Vacation
ERROR	Incorrectness
ARROW	Direction-sign shape
AMUSE	Evoke a smile
ELOPE	Emulate Anna Karenina
MISER	Commiserate with loss of mutual friend and skinflint
ELITE	Deliberately gets rid of Bradley from select group
NERTS	Slangy interjection 
INERT	Like neon and xenon
ARROW	It tells you where to go
SCENT	Essence 
EMAIL	Smartwatch message
EATER	Partygoer, typically
SENSE	Judgment 
EMEER	Abu Dhabi bigwig
EDGER	It's used on the border
NEVER	Certainly not!
AGREE	About in time for match
ANISE	Cordial ingredient. 
ARROW	Slender, pointed missile
SIREN	Killer in a myth that's pretty misogynist, if you think about it
SKATE	Travel on a pond, maybe
SIREN	Police car attachment
CARTE	A la  menu phrase
CHESS	Rankandfile game
THERE	Land ho followup
AGREE	Say likewise
AMIGO	Pal south of the border
ARROW	Direction indicator
RINSE	Whirlpool cycle
SIREN	Beguiling one
ABOMA	Ringed boa
ARMOR	Defensive equipment.
GUTTA	Drop where it's said to go
EXERT	Strain
NERTS	Slangy refusal
RESTS	Breaks for musicians
HEMEN	Hercules types
DREAD	Great fear 
LONER	Spaghetti western persona
RESET	Like ad rates after sweeps
ELOPE	Hitch in a rush
ELITE	ers
ENEMA	Laxative alternative
WREST	Twist or turn. 
KOREA	Source of Seoul food
ERECT	Put up with Tunisian leaving uncertainties
ERROR	"E" in the box score
SWIPE	Pick pockets
THINE	Your in days of yore
STEMS	Florists cut them
ENTER	Do Not  citysign words
WORSE	For Better or for
TAUPE	Color whose name is French for "mole"
OTTER	Cousin of a mink
ERECT	Perpendicular.
GENTS	Sign inside a diner
NORSE	Vikings
GLADE	Clearing in a wood
LEAVE	Army vacation
DISCO	Kind of dancer 
ELATE	Make wildly happy
EMAIL	Telecommunicated messages
ALTER	Change, as a hemline
KOREA	South  locale of Seoul host of the  Summer Olympics
INTER	I rent this berry, by the sound of it
NERTS	Kin of "shucks"
CELLO	Casals's forte 
SIREN	Fire truck device
ERROR	Blunder from English soldiers capturing bishop
OTTER	Thick-furred mammal
HELLO	The man will shortly get around to greet you
LEASE	Civic contract, at times
GROSS	Indecent
DIRTY	Sullied. 
AMATI	Cremona name
ANIMA	Jungian construct
ARENA	Anaheim's Honda Center, e.g
ARMOR	Sir Lancelot's protection
ENTER	Anything Can Happen in the Next Half Hour  Shikari
ELATE	Uplift
TREES	Sylvan sights 
CLONE	Dolly the sheep, for one
ELOPE	Go off on the q. t.
LEAVE	Part of A. W. O. L.
ERODE	Destroy slowly.
HEMEN	Redblooded ones
ELITE	Crack
DISCO	Dance genre
CREST	Whitestrips brand
CRUSH	A mass of people.
ATTAR	Perfume from roses
MANIA	Anagram for anima 
SENSE	Hearing, touch or taste
AMATI	Important name in Cremona 
LONER	One unlikely to collaborate
UVULA	That thing hanging from your palate
UPSET	At university, clique was annoying
HEMEN	Wrestler personas
DENSE	Obscure
SIREN	Delilah.
CELLO	Ma plays it
ELOPE	Split to unite
RINSE	Beautyparlor service
ALARM	Fill with dread
SCARE	Goal of the Scream producers
ELITE	Aristocratic types
CELLO	Viola de gamba cousin
CHESS	'As elaborate a waste of human intelligence as you could find anywhere outside an advertising agency,' per Raymond Chandler
OVULE	Embryo-sac container
KOREA	Nation divided in
AMUSE	Prevent ennui
LEAVE	Short furlough.
ERECT	Up, withstanding
DISME	Dime of 1792
EMEER	Arabic chief
RINSE	Temporary tint
SENSE	Feel 
AWARE	Mindful (of).
